[2020-04-04 12:37:17.007] [Raw_server] [error] Message to short (insufficient header length)
[2020-04-04 12:37:17.007] [Raw_server] [error] Message to short (insufficient header length)
[2020-04-04 12:37:17.007] [Raw_server] [error] Message to short (insufficient header length)
[2020-04-04 12:38:37.142] [Raw_server] [error] Message to short (insufficient data length of 236024, expected 20480000)
[2020-04-04 12:38:37.146] [Raw_server] [error] Message to short (insufficient data length of 4727720, expected 20480000)
[2020-04-04 12:52:18.297] [Raw_server] [error] Message to short (insufficient data length of 4329520, expected 20480000)
[2020-04-04 12:52:18.301] [Raw_server] [error] Message to short (insufficient data length of 10222880, expected 20480000)
[2020-04-04 12:52:18.301] [Raw_server] [error] Message to short (insufficient data length of 3947248, expected 20480000)
[2020-04-04 12:52:18.305] [Raw_server] [error] Message to short (insufficient data length of 10637008, expected 20480000)
[2020-04-04 12:52:18.305] [Raw_server] [error] Message to short (insufficient data length of 11528976, expected 20480000)
[2020-04-04 12:52:18.309] [Raw_server] [error] Message to short (insufficient data length of 10509584, expected 20480000)
[2020-04-04 12:52:18.309] [Raw_server] [error] Message to short (insufficient data length of 2816360, expected 20480000)
[2020-04-04 12:52:18.309] [Raw_server] [error] Message to short (insufficient data length of 4823288, expected 20480000)
[2020-04-04 12:52:18.313] [Raw_server] [error] Message to short (insufficient data length of 9697256, expected 20480000)
[2020-04-04 12:52:18.313] [Raw_server] [error] Message to short (insufficient data length of 9792824, expected 20480000)
[2020-04-04 12:52:18.313] [Raw_server] [error] Message to short (insufficient data length of 13535904, expected 20480000)
[2020-04-04 12:52:18.313] [Raw_server] [error] Message to short (insufficient data length of 6639080, expected 20480000)
[2020-04-04 12:52:18.313] [Raw_server] [error] Message to short (insufficient data length of 3246416, expected 20480000)
[2020-04-04 12:52:18.313] [Raw_server] [error] Message to short (insufficient data length of 10875928, expected 20480000)
[2020-04-04 12:52:18.313] [Raw_server] [error] Message to short (insufficient data length of 10652936, expected 20480000)
[2020-04-04 12:52:18.313] [Raw_server] [error] Message to short (insufficient data length of 10270664, expected 20480000)
[2020-04-04 12:52:18.313] [Raw_server] [error] Message to short (insufficient data length of 14061528, expected 20480000)
[2020-04-04 12:52:18.313] [Raw_server] [error] Message to short (insufficient data length of 17055992, expected 20480000)
[2020-04-04 12:52:18.317] [Raw_server] [error] Message to short (insufficient data length of 10302520, expected 20480000)
[2020-04-04 12:52:18.317] [Raw_server] [error] Message to short (insufficient data length of 13695184, expected 20480000)
[2020-04-04 12:52:18.317] [Raw_server] [error] Message to short (insufficient data length of 11751968, expected 20480000)
[2020-04-04 12:52:18.317] [Raw_server] [error] Message to short (insufficient data length of 13679256, expected 20480000)
[2020-04-04 12:52:18.321] [Raw_server] [error] Message to short (insufficient data length of 13695184, expected 20480000)
[2020-04-04 12:52:18.321] [Raw_server] [error] Message to short (insufficient data length of 14459728, expected 20480000)
[2020-04-04 12:52:18.321] [Raw_server] [error] Message to short (insufficient data length of 13153632, expected 20480000)
[2020-04-04 12:52:18.321] [Raw_server] [error] Message to short (insufficient data length of 15335768, expected 20480000)
[2020-04-04 12:52:18.321] [Raw_server] [error] Message to short (insufficient data length of 17565688, expected 20480000)
[2020-04-04 12:52:18.321] [Raw_server] [error] Message to short (insufficient data length of 17215272, expected 20480000)
[2020-04-04 12:52:18.325] [Raw_server] [error] Message to short (insufficient data length of 15287984, expected 20480000)
[2020-04-04 12:52:18.325] [Raw_server] [error] Message to short (insufficient data length of 16880784, expected 20480000)
[2020-04-04 12:52:18.325] [Raw_server] [error] Message to short (insufficient data length of 14427872, expected 20480000)
