time,value
1564331043000,0.136905
1564381911000,0.141106
1564382545000,0.142561
1564383830000,0.151099
1564384462000,0.158918
1564386864000,0.165399
1564387498000,0.170648
1564389720000,0.178065
1564390354000,0.184778
1564390991000,0.188321
1564391625000,0.193608
1564392242000,0.195437
1564392861000,0.199373
1564393478000,0.20382
1564394113000,0.207064
1564394731000,0.211684
1564395366000,0.215526
1564395998000,0.221066
1564397691000,0.226811
1564398325000,0.232212
1564398961000,0.237688
1564399597000,0.242232
1564400229000,0.247439
1564402423000,0.254208
1564403056000,0.259945
1564403692000,0.265717
1564404310000,0.269822
1564404938000,0.274383
1564405572000,0.279956
1564406191000,0.283664
1564406824000,0.287897
1564407446000,0.293218
1564408079000,0.29828
1564408698000,0.302451
1564409803000,0.307982
1564410438000,0.312368
1564411073000,0.315975
1564411715000,0.319174
1564412339000,0.321684
1564412973000,0.32467
1564413607000,0.328124
1564414239000,0.331686
1564414859000,0.334844
1564415493000,0.338699
1564416127000,0.342936
1564419051000,0.345473
1564420066000,0.348274
1564420698000,0.350602
1564423876000,0.353369
1564424510000,0.358747
1564425145000,0.361789
1564425779000,0.365127
1564426412000,0.368274
1564431459000,0.371051
1564432090000,0.374041
1564432726000,0.379473
1564433359000,0.382395
1564433981000,0.385058
1564434616000,0.387895
1564435247000,0.392466
1564435880000,0.395385
1564436516000,0.396242
1564437155000,0.399656
1564438598000,0.40137
1564439233000,0.404558
1564439866000,0.406906
1564440499000,0.409472
1564441134000,0.412264
1564441768000,0.415127
1564442403000,0.417562
1564443035000,0.42096
1564443667000,0.423375
1564444678000,0.427201
1564447411000,0.429435
1564448049000,0.432396
1564448679000,0.435867
1564449314000,0.439801
1564452477000,0.441549
1564453112000,0.444866
1564453746000,0.447943
1564454379000,0.451683
1564454998000,0.455073
1564455616000,0.458154
1564456253000,0.461205
1564456888000,0.464259
1564460203000,0.466582
1564460823000,0.466686
1564461457000,0.470559
1564462093000,0.473587
1564462725000,0.476691
1564463358000,0.480869
1564463993000,0.485286
1564464612000,0.48943
1564465239000,0.49091
1564465872000,0.494443
1564466506000,0.498617
1564467381000,0.500878
1564468016000,0.504942
1564468649000,0.507888
1564469282000,0.511267
1564469917000,0.51165
1564470550000,0.510001
1564473484000,0.508306
1564474118000,0.499564
1564478149000,0.494065
1564478768000,0.489476
1564479439000,0.485766
1564480073000,0.479919
1564480707000,0.473982
1564481344000,0.471759
1564481978000,0.467952
1564482595000,0.466448
1564483230000,0.463662
1564483848000,0.462986
1564484483000,0.46413
1564485127000,0.464112
1564485736000,0.464374
1564486370000,0.46421
1564489084000,0.461168
1564489717000,0.459349
1564490650000,0.456018
1564491285000,0.453434
1564491915000,0.450139
1564492539000,0.445507
1564493172000,0.442909
1564493810000,0.442371
1564494442000,0.440148
1564495077000,0.43699
1564496919000,0.43367
1564497553000,0.429624
1564499990000,0.427703
1564500625000,0.425341
1564501259000,0.423238
1564501891000,0.421782
1564504858000,0.418805
1564505489000,0.417814
1564506124000,0.416746
1564506757000,0.415972
1564507391000,0.415023
1564508026000,0.414192
1564508660000,0.413399
1564509278000,0.413012
1564509898000,0.412214
1564510531000,0.411092
1564511151000,0.411812
1564512184000,0.412117
1564512803000,0.411644
1564518023000,0.411624
1564518657000,0.410898
1564519275000,0.407358
1564523659000,0.406377
1564524294000,0.405942
1564524928000,0.405059
1564525562000,0.404777
1564526179000,0.40397
1564526805000,0.401426
1564527416000,0.401115
1564528050000,0.401225
1564528686000,0.401046
1564529318000,0.398823
1564529953000,0.398398
1564530588000,0.397523
